nome;codigo;contagem_fisica;envio_ml_full;vendas;saldo_final
Anéis 8126 0,50;8126 0,50;3;0;3;0
Anéis 9200 STD;9200 STD;18;0;9;9
Anéis 9403 STD;9403 STD;20;0;0;20
Anel 8126 STD;8126 STD;1;0;0;1
Anel SDA 6631 0,50;6631 0,50;130;30;1;99
Anel SDA 7092;7092;25;0;2;23
Bronzina de Biela SBB 1035-J 0,25;1035-J;24;0;1;23
Jogo de Anel 7224 0,50;7224 0,50;54;0;1;53
Jogo de Anel 7224 STD;7224 STD;43;0;8;35
Retentor 1135;1135;118;0;1;117
Retentor 1942;1942;675;0;67;608
Retentor 2075;2075;124;0;0;124
Retentor 2178;2178;652;300;22;330
Retentor 2283;2283;274;0;4;270
Retentor 2317;2317;72;0;0;72
Retentor 2370;2370;58;0;19;39
Retentor 2371 (Shopee);2371;359;0;0;359
Retentor 2373;2373;101;0;3;98
Retentor 2374;2374;42;40;5;-3
Retentor 2400;2400;1;0;0;1
Retentor 2525;2525;600;0;0;600
Retentor 2539;2539;65;30;0;35
Retentor 2544;2544;224;0;4;220
Retentor 3044;3044;598;100;12;486
Retentor 5159;5159;911;0;9;902
Retentor 5245;5245;9;0;9;0
Retentor 5266;5266;53;30;6;17
Retentor 5338;5338;102;0;14;88
Retentor 5502;5502;45;0;0;45
Retentor 5601;5601;23;15;3;5
Retentor 5699;5699;49;20;1;28
Retentor 5702;5702;0;0;0;0
Retentor 5772;5772;172;0;9;163
Retentor 5801;5801;29;0;0;29
Vedadores 9203;9203;475;200;24;251
8566 STD;8566 STD;20;0;0;20
2900;2900;50;0;0;50
